"species"	"IUCN_TS_sum.x"	"IUCN_TS_sum_InclOld.x"	"Subset"	"Predicted_class_MOST"	"Predicted_PnonLC_MOST"	"Predicted_PLC_MOST"	"Expert"	"subset_plot_iucn_MOST"	"subset_plot_IUCNpreds1_MOST"	"subset_plot_IUCNpreds2_MOST"	"subset_plot_IUCNpreds1_exp_MOST"	"subset_plot_IUCNpreds2_exp_MOST"	"Continent"	"GrowthForm"	"Armed"	"MaxLeafLen_m"	"AvFruitLen_cm_mod"	"AvFruitWid_cm_mod"	"AvFruitVol_cm3"	"FruitDim1_cm"	"FruitDim2_cm"	"Small_bird_food"	"Large_bird_food"	"Bird_food"	"Small_mammal_food"	"Large_mammal_food"	"Mammal_food"	"High_C_trapper"	"Int_C_trapper"	"Low_C_trapper"	"High_or_Int_C_trapper"	"Human_use_all"	"Human_use_food"	"Human_use_materials"	"Human_use_medicine"	"Human_use_cultural"	"Predicted_class_LEAST"	"Predicted_PnonLC_LEAST"	"Predicted_PLC_LEAST"	"subset_plot_iucn_LEAST"	"subset_plot_IUCNpreds1_LEAST"	"subset_plot_IUCNpreds2_LEAST"	"subset_plot_IUCNpreds1_exp_LEAST"	"subset_plot_IUCNpreds2_exp_LEAST"	"FD_G"	"ED"	"FDcat"	"EDcat"	"REC"	"OLD"	"PRED"	"Subset2"	"RLa"	"RLro"	"RLr"	"RLa_MLp_BS"	"RLro_MLpr_BS"	"RLr_MLpr_BS"	"RLa_MLp_WS"	"RLro_MLpr_WS"	"RLr_MLpr_WS"	"RLro_MLpr_EG_BS"	"RLro_MLpr_EG_WS"	"Nbe_unique_occ."	"Nbe_subPop"	"Nbe_loc"	"AOO2km"	"EOO_rCAT_conR2"	"HFI"	"HPD"	"FLO"	"bio4"	"bio15"	"Tflex_mean"	"Pflex_mean"	"ECO"	"TDWG3"	"preds"	"IUCN_TS_detail"	"IUCN_TS_sum.y"	"IUCN_TS_detail_InclOld"	"IUCN_TS_sum_InclOld.y"
"Pinanga purpurea"	"NE"	"NE"	"NO_ML"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"EAsiaPacific"	"E"	"0"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0.219256795874945	"3.26363822653458"	"NO"	"NO"	"NO"	"NO"	"NO"	"NOPRED_data_noAss_noOcc"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO"	"NE"	"NE"	"NE"	"NE"
"Pinanga quadrijuga"	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.936"	"0.064"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	"0"	"1.29"	"1.3"	"0.7"	"0.333532420056116"	"1.3"	"0.7"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.710263884808979"	"0.289736115191021"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.271106415080703	"3.29490881838141"	"YES"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	5	3	2	16	104.630079674963	31.5510387420654	189.976208496094	0.0711988754570484	115.18928527832	75.8012878417969	0.792668574324497	0.0399002493765586	2	1	"YES"	"NE"	"NE"	"NE"	"NE"
"Pinanga ridleyana"	"NE"	"NE"	"PREDICTED"	"LC"	"0.396"	"0.604"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"E"	"0"	"NA"	"1.7"	"0.5"	"0.222529479629277"	"1.7"	"0.5"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.632494222372349"	"0.367505777627651"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.243749542483879	"3.27894435756895"	"NO"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"	8	6	6	32	76160.6961853398	16.8946958780289	18.0974701792002	0.142922698956681	37.6396512985229	22.1056523323059	0.842917664224666	0.496847793455419	4	1	"YES"	"NE"	"NE"	"NE"	"NE"
"Pinanga rigida"	"NE"	"nonLC"	"PREDICTED"	"LC"	"0.488"	"0.512"	"NA"	"nonLC"	"nonLC"	"LC"	"nonLC"	"LC"	"EAsiaPacific"	"E"	"0"	"NA"	"1"	"0.7"	"0.256563400043166"	"1"	"0.7"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NA"	"NA"	"NO"	"NA"	"YES"	"YES"	"NO"	"NO"	"YES"	"nonLC"	"0.738088800336254"	"0.261911199663746"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.241390536717364	"3.33658820908379"	"NO"	"NO"	"NO"	"YES"	"YES"	"REPRED_data"	"nonLC"	"NA"	"NA"	"nonLC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"	2	2	2	8	NA	36.6191635131836	527.427307128906	0.0258907778188586	78.5540161132812	41.5058097839355	0.821867925776972	0.25515947467167	1	1	"YES"	"NE"	"NE"	"Possibly Threatened"	"nonLC"
"Pinanga riparia"	"NE"	"NE"	"PREDICTED"	"LC"	"0.296"	"0.704"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"E"	"0"	"1.02"	"1.3"	"0.7"	"0.333532420056116"	"1.3"	"0.7"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.569352137679648"	"0.430647862320352"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.270902519536282	"3.33924086312606"	"YES"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"	5	5	5	20	209568.593801514	20.4492376327515	18.772687792778	0.283061013696715	50.9607353210449	27.3467287063599	0.847379040447704	0.430164319248826	2	3	"YES"	"NE"	"NE"	"NE"	"NE"
"Pinanga rivularis"	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.78"	"0.22"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	"0"	"NA"	"0.65"	"0.5"	"0.0850848010347236"	"0.65"	"0.5"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.692858389169986"	"0.307141610830014"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.265913561249199	"6.05366207512199"	"YES"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	11	7	7	44	4167.30496726064	14.9013925032182	2.52525070580569	0.0808953806884925	38.6187560341575	17.2845804041082	0.854853475857482	0.631578947368421	2	1	"YES"	"NE"	"NE"	"NE"	"NE"
"Pinanga rumphiana"	"NE"	"nonLC"	"PREDICTED"	"LC"	"0.166"	"0.834"	"NA"	"nonLC"	"nonLC"	"LC"	"nonLC"	"LC"	"EAsiaPacific"	"E"	"0"	"3.5"	"1.5"	"0.9"	"0.636172512351933"	"1.5"	"0.9"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"	"LC"	"0.267535250970205"	"0.732464749029795"	"nonLC"	"nonLC"	"LC"	"nonLC"	"LC"	0.215023806966885	"3.16938766139398"	"NO"	"NO"	"NO"	"YES"	"YES"	"REPRED_data"	"nonLC"	"NA"	"NA"	"nonLC"	"LC"	"LC"	"nonLC"	"LC"	"LC"	"LC"	"LC"	34	21	21	92	1279886.04451801	14.986141001477	23.8188320573638	0.0664035721702556	45.4105521370383	23.9324050510631	0.840111599331084	0.489648033126294	11	3	"YES"	"NE"	"NE"	"Possibly Threatened"	"nonLC"
"Pinanga rupestris"	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.974"	"0.026"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	"0"	"0.86"	"1.7"	"0.9"	"0.720995513998857"	"1.7"	"0.9"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.739091092802062"	"0.260908907197938"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.272366044568568	"3.32671943904954"	"YES"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	1	1	1	4	NA	39.7671318054199	492.907806396484	0.0591963529586792	50.760627746582	46.7207221984863	0.849091653768943	0.259150805270864	1	1	"YES"	"NE"	"NE"	"NE"	"NE"
"Pinanga salicifolia"	"NE"	"NE"	"PREDICTED"	"LC"	"0.292"	"0.708"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"E"	"0"	"1.95"	"1.5"	"0.5"	"0.196349540849362"	"1.5"	"0.5"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.557560494361046"	"0.442439505638954"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.237325386764781	"2.32580908895148"	"NO"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"	34	26	28	136	326343.333409293	19.9900419151082	41.0613870322704	0.148528108914273	38.7667515137616	23.4670372850755	0.847691279678858	0.48814483751231	3	1	"YES"	"NE"	"NE"	"NE"	"NE"
"Pinanga samarana"	"nonLC"	"nonLC"	"NO_ML"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	"0"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"YES"	"YES"	"NO"	"NO"	"YES"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.219256795874945	"3.30808990669994"	"NO"	"NO"	"YES"	"NO"	"NO"	"NOPRED_data_rec_noOcc"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO"	"Threatened"	"nonLC"	"Threatened"	"nonLC"
"Pinanga sarmentosa"	"NE"	"NE"	"NO_ML"	"NA"	"NA"	"NA"	"nonLC"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	"0"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	0.219256795874945	"3.30039454470029"	"NO"	"NO"	"NO"	"NO"	"NO"	"NOPRED_data_noAss_noOcc"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO"	"NE"	"NE"	"NE"	"NE"
"Pinanga sclerophylla"	"nonLC"	"nonLC"	"TRAIN"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	"0"	"5.2"	"1"	"0.7"	"0.256563400043166"	"1"	"0.7"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NO"	"NA"	"YES"	"YES"	"NO"	"NO"	"YES"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.270037379153433	"3.32118874010802"	"YES"	"NO"	"YES"	"NO"	"NO"	"NOPRED_data_rec_TestTrainDypsis"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	2	2	2	8	NA	28.7103605270386	166.167417526245	0.0264945654198527	85.324535369873	59.8761768341064	0.809494467281774	0.112219451371571	1	1	"YES"	"Threatened"	"nonLC"	"Threatened"	"nonLC"
"Pinanga scortechinii"	"NE"	"NE"	"PREDICTED"	"LC"	"0.406"	"0.594"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"E"	"0"	"NA"	"1.35"	"0.85"	"0.510705155749191"	"1.35"	"0.85"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.677946170800008"	"0.322053829199992"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.268252740117995	"2.9631470483862"	"YES"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"	6	6	6	24	5398.36582329802	29.2542292277018	140.322222709656	0.101643525063992	69.8811461130778	53.9553279876709	0.825264523947533	0.173931623931624	1	2	"YES"	"NE"	"NE"	"NE"	"NE"
"Pinanga sembilan"	"NE"	"NE"	"NO_ML"	"NA"	"NA"	"NA"	"nonLC"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"EAsiaPacific"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	0.221748200322881	"NA"	"NO"	"NA"	"NO"	"NO"	"NO"	"NOPRED_data_noAss_noOcc"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO"	"NE"	"NE"	"NE"	"NE"
"Pinanga sessilifolia"	"NE"	"NE"	"PREDICTED"	"LC"	"0.55"	"0.45"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"E"	"0"	"0.49"	"1.5"	"0.4"	"0.125663706143592"	"1.5"	"0.4"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"NO"	"YES"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.709425954341837"	"0.290574045658163"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.237519315439548	"4.9614823729874"	"NO"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"	6	6	6	24	107985.020740208	21.8137523333232	91.2921181917191	0.143026473000646	35.6325925191244	27.8585246404012	0.836325800130026	0.411560693641619	1	1	"YES"	"NE"	"NE"	"NE"	"NE"
"Pinanga sibuyanensis"	"NE"	"nonLC"	"NO_ML"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	"0"	"NA"	"2.1"	"1.5"	"2.47400421470196"	"2.1"	"1.5"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NO"	"NA"	"YES"	"YES"	"NO"	"NO"	"YES"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.206671116921356	"3.25694190229104"	"NO"	"NO"	"NO"	"YES"	"NO"	"NOPRED_data_old_noOcc"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO"	"NE"	"NE"	"Possibly Threatened"	"nonLC"
"Pinanga sierramadreana"	"NE"	"NE"	"NO_ML"	"NA"	"NA"	"NA"	"nonLC"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	"0"	"1.23"	"1.3"	"0.8"	"0.435634181297785"	"1.3"	"0.8"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	0.243534854339498	"3.3815654611944"	"NO"	"NO"	"NO"	"NO"	"NO"	"NOPRED_data_noAss_noOcc"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO"	"NE"	"NE"	"NE"	"NE"
"Pinanga simplicifrons"	"NE"	"NE"	"PREDICTED"	"LC"	"0.266"	"0.734"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"E"	"0"	"NA"	"1.9"	"1"	"0.994837673636768"	"1.9"	"1"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"LC"	"0.321453908034571"	"0.678546091965429"	"NA"	"LC"	"LC"	"LC"	"LC"	0.270739020189156	"3.39066861223547"	"YES"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	26	23	24	104	926759.831400775	24.8330535521874	66.6135026124807	0.23360281638228	60.0315160017747	41.6047961161687	0.836098452391085	0.295392460389729	4	5	"YES"	"NE"	"NE"	"NE"	"NE"
"Pinanga singaporensis"	"NE"	"NE"	"NO_ML"	"NA"	"NA"	"NA"	"nonLC"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	"0"	"NA"	"1.6"	"0.9"	"0.678584013175395"	"1.6"	"0.9"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	0.26851213639504	"3.27226013491763"	"YES"	"NO"	"NO"	"NO"	"NO"	"NOPRED_data_noAss_noOcc"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO"	"NE"	"NE"	"NE"	"NE"
"Pinanga sobolifera"	"nonLC"	"nonLC"	"NO_ML"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	"0"	"1.21"	"1.2"	"0.8"	"0.402123859659493"	"1.2"	"0.8"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.26664295052018	"3.26589004114277"	"YES"	"NO"	"YES"	"NO"	"NO"	"NOPRED_data_rec_noOcc"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO"	"Threatened"	"nonLC"	"Threatened"	"nonLC"
"Pinanga speciosa"	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.822"	"0.178"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	"0"	"NA"	"0.4"	"NA"	"NA"	"0.4"	"NA"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NO"	"NA"	"YES"	"YES"	"NO"	"NO"	"YES"	"nonLC"	"0.709801947092723"	"0.290198052907277"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.207504013283452	"3.28923360548702"	"NO"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	4	4	4	16	44100.3608855714	31.8624534606934	205.510803222656	0.0343666258268058	58.9439935684204	38.3562231063843	0.816346123233106	0.321597833446175	2	1	"YES"	"NE"	"NE"	"NE"	"NE"
"Pinanga stricta"	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.786"	"0.214"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	"0"	"NA"	"1.5"	"0.6"	"0.282743338823081"	"1.5"	"0.6"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.700095187547793"	"0.299904812452207"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.242094820516722	"3.29844609569316"	"NO"	"NO"	"NO"	"YES"	"YES"	"REPRED_data"	"nonLC"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	2	2	2	8	NA	25.6152725219727	58.1884937286377	0.163409814238548	49.204273223877	57.3611030578613	0.844397673159341	0.214630225080386	2	1	"YES"	"NE"	"NE"	"Threatened"	"nonLC"
"Pinanga stylosa"	"NE"	"NE"	"PREDICTED"	"LC"	"0.47"	"0.53"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"E"	"0"	"1.42"	"1.6"	"1"	"0.837758040957278"	"1.6"	"1"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.68343919247715"	"0.31656080752285"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.269527203923765	"3.314513828816"	"YES"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"	2	2	2	8	NA	22.2885913848877	84.0977745056152	0.266868196427822	31.5219917297363	29.1716642379761	0.838762144442415	0.439716312056738	2	1	"YES"	"NE"	"NE"	"NE"	"NE"
"Pinanga subintegra"	"NE"	"nonLC"	"PREDICTED"	"LC"	"0.354"	"0.646"	"NA"	"nonLC"	"nonLC"	"LC"	"nonLC"	"LC"	"EAsiaPacific"	"E"	"0"	"NA"	"1.7"	"0.5"	"0.222529479629277"	"1.7"	"0.5"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NA"	"NA"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.521021217454281"	"0.478978782545719"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.26999296405495	"3.62725771527222"	"YES"	"NO"	"NO"	"YES"	"YES"	"REPRED_data"	"nonLC"	"NA"	"NA"	"nonLC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"	11	10	10	40	115564.128408474	27.2398086894642	85.3604071357033	0.263632094995542	62.6319191672585	44.0981270183216	0.83678180907815	0.267273807166898	3	3	"YES"	"NE"	"NE"	"Threatened"	"nonLC"
"Pinanga subruminata"	"nonLC"	"nonLC"	"NO_ML"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	"0"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.219256795874945	"3.45723414295002"	"NO"	"NO"	"YES"	"NO"	"NO"	"NOPRED_data_rec_noOcc"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO"	"NT"	"nonLC"	"NT"	"nonLC"
"Pinanga sylvestris"	"LC"	"LC"	"TRAIN"	"NA"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"E"	"0"	"1.82"	"2.3"	"1"	"1.20427718387609"	"2.3"	"1"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"YES"	"YES"	"NO"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	0.241046476563695	"3.23535605553898"	"NO"	"NO"	"YES"	"NO"	"NO"	"NOPRED_data_rec_TestTrainDypsis"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	19	16	17	68	1016942.93444608	26.0393838882446	125.361332836904	0.0925098354560568	198.644047385768	77.5518304925216	0.710799376021534	0.0395081967213116	9	7	"YES"	"LC"	"LC"	"LC"	"LC"
