"species"	"Americas"	"AfricaWAsia"	"EAsiaPacific"	"Climbing"	"Acaulescent"	"Erect"	"StemSolitary"	"StemArmed"	"LeavesArmed"	"MaxStemHeight_m"	"MaxStemDia_cm"	"UnderstoreyCanopy"	"MaxLeafNumber"	"Max_Blade_Length_m"	"Max_Rachis_Length_m"	"Max_Petiole_length_m"	"AverageFruitLength_cm"	"MinFruitLength_cm"	"MaxFruitLength_cm"	"AverageFruitWidth_cm"	"MinFruitWidth_cm"	"MaxFruitWidth_cm"	"FruitSizeCategorical"	"FruitShape"	"Conspicuousness"	"AnimalFood"	"EnvironmentalUses"	"Fuels"	"GeneSources"	"HumanFood"	"InvertebrateFood"	"Materials"	"Medicines"	"Poisons"	"SocialUses"	"IUCN_TS_sum"	"IUCN_TS_sum_InclOld"	"Subset"	"Predicted_class_MOST"	"Predicted_PnonLC_MOST"	"Predicted_PLC_MOST"	"Expert"	"subset_plot_iucn_MOST"	"subset_plot_IUCNpreds1_MOST"	"subset_plot_IUCNpreds2_MOST"	"subset_plot_IUCNpreds1_exp_MOST"	"subset_plot_IUCNpreds2_exp_MOST"	"Continent"	"GrowthForm"	"Armed"	"MaxLeafLen_m"	"AvFruitLen_cm_mod"	"AvFruitWid_cm_mod"	"AvFruitVol_cm3"	"FruitDim1_cm"	"FruitDim2_cm"	"Small_bird_food"	"Large_bird_food"	"Bird_food"	"Small_mammal_food"	"Large_mammal_food"	"Mammal_food"	"High_C_trapper"	"Int_C_trapper"	"Low_C_trapper"	"High_or_Int_C_trapper"	"Human_use_all"	"Human_use_food"	"Human_use_materials"	"Human_use_medicine"	"Human_use_cultural"
"Prestoea ensiformis"	1	0	0	0	0	1	"2"	0	0	10	13	"canopy"	14	3.4	2.3	1.15	0.85	NA	NA	0.85	0.7	1	"small"	"globose"	"cryptic"	0	1	1	0	1	0	1	0	0	0	"NE"	"NE"	"PREDICTED"	"LC"	"0.218"	"0.782"	NA	NA	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	0	4.55	0.85	0.85	0.321555098064305	0.85	0.85	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"YES"	"YES"	"YES"	"NO"	"NO"
"Prestoea longepetiolata"	1	0	0	0	0	1	"2"	0	0	3	10	"understorey"	6	NA	2	2	1.05	1	1.1	1.05	1	1.1	"small"	"globose"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"PREDICTED"	"LC"	"0.254"	"0.746"	NA	"nonLC"	"nonLC"	"LC"	"nonLC"	"LC"	"Americas"	"E"	0	NA	1.05	1.05	0.606131032601981	1.05	1.05	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	NA	NA	NA	NA	NA	NA	NA	NA
"Prestoea pubens"	1	0	0	0	0	1	"2"	0	0	3.5	5	"understorey"	10	2.8	1.8	NA	0.9	NA	NA	0.9	0.8	1	"small"	"ovoid"	"cryptic"	0	0	0	0	1	0	1	0	0	0	"NE"	"LC"	"PREDICTED"	"LC"	"0.162"	"0.838"	NA	"LC"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	0	NA	0.9	0.9	0.38170350741116	0.9	0.9	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"YES"	"YES"	"YES"	"NO"	"NO"
"Prestoea pubigera"	1	0	0	0	0	1	"1"	0	0	4	3.5	"understorey"	9	1.53	0.8	0.78	1	NA	NA	1	0.8	1.2	"small"	"globose"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"PREDICTED"	"LC"	"0.574"	"0.426"	NA	NA	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	0	2.31	1	1	0.523598775598299	1	1	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA
"Prestoea schultzeana"	1	0	0	0	0	1	"2"	0	0	5	5.5	"understorey"	10	3.8	2.2	1.7	0.85	NA	NA	0.85	0.7	1	"small"	"elongate"	"cryptic"	1	0	1	0	1	0	1	1	0	1	"NE"	"NE"	"PREDICTED"	"LC"	"0.308"	"0.692"	NA	NA	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	0	5.5	0.85	0.85	0.321555098064305	0.85	0.85	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"YES"	"YES"	"YES"	"YES"	"YES"
"Prestoea simplicifolia"	1	0	0	0	0	1	"2"	0	0	8	7	"canopy"	12	1.9	1.8	0.12	1.15	NA	NA	1.15	0.9	1.4	"small"	"globose"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.728"	"0.272"	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	0	2.02	1.15	1.15	0.796328287838062	1.15	1.15	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA
"Prestoea tenuiramosa"	1	0	0	0	0	1	"2"	0	0	10	20	"canopy"	15	2.2	1.8	0.45	1.1	NA	NA	1.1	1	1.2	"small"	"ovoid"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"PREDICTED"	"LC"	"0.524"	"0.476"	NA	"nonLC"	"nonLC"	"LC"	"nonLC"	"LC"	"Americas"	"E"	0	2.65	1.1	1.1	0.696909970321336	1.1	1.1	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"NO"	"YES"	NA	NA	NA	NA	NA
"Pritchardia arecina"	1	0	0	0	0	1	"1"	0	0	15	50	"canopy"	15	1.8	NA	0.02	4.5	NA	NA	3.9	3.8	4	"large"	"NA"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"NO_ML"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	0	1.82	4.5	3.9	35.8377181958256	4.5	3.9	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"YES"	"NO"	"NO"	"YES"	NA	NA	NA	NA	NA
"Pritchardia bakeri"	1	0	0	0	0	1	"1"	0	0	NA	NA	"NA"	NA	NA	NA	NA	4	NA	NA	3.5	NA	NA	"large"	"NA"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"nonLC"	"nonLC"	"NO_ML"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	0	NA	4	3.5	25.6563400043166	4	3.5	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Pritchardia beccariana"	1	0	0	0	0	1	"1"	0	0	20	30	"canopy"	NA	NA	NA	NA	4	NA	NA	3.5	3	4	"large"	"NA"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.966"	"0.034"	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	0	NA	4	3.5	25.6563400043166	4	3.5	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Pritchardia flynnii"	1	0	0	0	0	1	"1"	0	0	5	NA	"understorey"	26	1	NA	NA	3	2.5	3.5	2.05	1.8	2.3	"small"	"elongate"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"nonLC"	"nonLC"	"NO_ML"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	0	NA	3	2.05	6.60127156335555	3	2.05	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"NO"	"YES"	NA	NA	NA	NA	NA
"Pritchardia forbesiana"	1	0	0	0	0	1	"1"	0	0	10	NA	"canopy"	NA	NA	NA	NA	4.25	4	4.5	3.35	3.2	3.5	"large"	"ovoid"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.754"	"0.246"	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	0	NA	4.25	3.35	24.9733708513956	4.25	3.35	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Pritchardia glabrata"	1	0	0	0	0	1	"1"	0	0	5	20	"understorey"	16	1.05	0.5	0.6	2.5	2	3	2.25	2	2.5	"small"	"globose"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.686"	"0.314"	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	0	1.65	2.5	2.25	6.62679700366597	2.5	2.25	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"NO"	"YES"	NA	NA	NA	NA	NA
"Pritchardia gordonii"	1	0	0	0	0	1	"1"	0	0	20	25	"canopy"	30	1.5	1.5	1.3	5	NA	NA	6	NA	NA	"large"	"elongate"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"NO_ML"	NA	NA	NA	"nonLC"	NA	NA	NA	"nonLC"	"nonLC"	"Americas"	"E"	0	2.8	5	6	78.5398163397448	6	5	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"YES"	"NO"	"NO"	"YES"	NA	NA	NA	NA	NA
"Pritchardia hardyi"	1	0	0	0	0	1	"1"	0	0	10	45	"canopy"	NA	NA	NA	NA	2.75	2	3.5	1.55	1.5	1.6	"small"	"globose"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"NO_ML"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	0	NA	2.75	1.55	3.45935166053101	2.75	1.55	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Pritchardia hillebrandii"	1	0	0	0	0	1	"1"	0	0	8	25	"canopy"	16	1.7	1	NA	1.85	1.5	2.2	1.65	1.4	1.9	"small"	"ovoid"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.882"	"0.118"	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	0	NA	1.85	1.65	2.63717068314778	1.85	1.65	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"NO"	"YES"	NA	NA	NA	NA	NA
"Pritchardia kaalae"	1	0	0	0	0	1	"1"	0	0	10	NA	"canopy"	NA	1.6	NA	NA	2.5	NA	NA	2.5	NA	NA	"small"	"ovoid"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"NO_ML"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	0	NA	2.5	2.5	8.18123086872342	2.5	2.5	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	"NO"	NA	NA	NA	NA	NA	NA
"Pritchardia kahukuensis"	1	0	0	0	0	1	"1"	0	0	25	NA	"canopy"	NA	NA	NA	NA	1.5	NA	NA	1.1	NA	NA	"small"	"NA"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.754"	"0.246"	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	0	NA	1.5	1.1	0.950331777710913	1.5	1.1	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Pritchardia lanigera"	1	0	0	0	0	1	"1"	0	0	15	50	"canopy"	NA	NA	NA	NA	4.5	3.5	5.5	3.5	3	4	"large"	"elongate"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"NO_ML"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	0	NA	4.5	3.5	28.8633825048562	4.5	3.5	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Pritchardia lowreyana"	1	0	0	0	0	1	"1"	0	0	10	100	"canopy"	NA	1.7	NA	NA	4.75	3.5	6	3.75	3	4.5	"large"	"elongate"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"NO_ML"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	0	NA	4.75	3.75	34.9747619637926	4.75	3.75	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	NA	NA	"NO"	NA	NA	NA	NA	NA	NA
"Pritchardia maideniana"	1	0	0	0	0	1	"1"	0	0	10	NA	"canopy"	NA	NA	NA	NA	1.75	1.2	2.3	1.75	1.2	2.3	"small"	"globose"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.762"	"0.238"	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	0	NA	1.75	1.75	2.80616218797213	1.75	1.75	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Pritchardia martii"	1	0	0	0	0	1	"1"	0	0	10	NA	"canopy"	NA	NA	NA	NA	4.5	4	5	3.25	2.5	4	"large"	"ovoid"	"cryptic"	0	0	0	0	0	0	1	0	0	0	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.698"	"0.302"	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	0	NA	4.5	3.25	24.8873043026566	4.5	3.25	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	NA	NA	NA	NA	"YES"	"NO"	"YES"	"NO"	"NO"
"Pritchardia minor"	1	0	0	0	0	1	"1"	0	0	12	10	"canopy"	11	1.32	NA	NA	2.25	1.5	3	1.25	1.2	1.3	"small"	"ovoid"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"nonLC"	"nonLC"	"TRAIN"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	0	NA	2.25	1.25	1.84077694546277	2.25	1.25	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA
"Pritchardia mitiaroana"	1	0	0	0	0	1	"1"	0	0	25	35	"canopy"	NA	1.5	NA	NA	0.6	NA	NA	0.6	0.5	0.7	"small"	"globose"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"NO_ML"	NA	NA	NA	"nonLC"	NA	NA	NA	"nonLC"	"nonLC"	"Americas"	"E"	0	NA	0.6	0.6	0.113097335529233	0.6	0.6	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	"NO"	NA	NA	NA	NA	NA	NA
"Pritchardia munroi"	1	0	0	0	0	1	"1"	0	0	5	20	"understorey"	NA	1.7	0.9	0.85	2.1	NA	NA	2.1	2.2	2	"small"	"NA"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.92"	"0.08"	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	0	2.55	2.1	2.1	4.84904826081585	2.1	2.1	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	"NO"	NA	NA	NA	NA	NA	NA
"Pritchardia napaliensis"	1	0	0	0	0	1	"1"	0	0	10	20	"canopy"	20	1.55	0.85	NA	2.1	1.7	2.5	1.6	1.4	1.8	"small"	"globose"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.77"	"0.23"	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	0	NA	2.1	1.6	2.81486701761645	2.1	1.6	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"NO"	"YES"	NA	NA	NA	NA	NA
"Pritchardia pacifica"	0	0	1	0	0	1	"1"	0	0	15	40	"canopy"	NA	1.7	NA	1.15	1.15	NA	NA	1.15	1.1	1.2	"small"	"elongate"	"cryptic"	0	1	0	0	0	0	0	0	0	0	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.914"	"0.086"	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	0	2.85	1.15	1.15	0.796328287838062	1.15	1.15	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	"NO"	NA	"YES"	"NO"	"NO"	"NO"	"NO"
"Pritchardia perlmanii"	1	0	0	0	0	1	"1"	0	0	10	50	"canopy"	NA	1	NA	NA	2.95	1.9	4	1.65	1.2	2.1	"small"	"ovoid"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"NO_ML"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	0	NA	2.95	1.65	4.20521811637079	2.95	1.65	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	"NO"	NA	NA	NA	NA	NA	NA
"Pritchardia remota"	1	0	0	0	0	1	"1"	0	0	10	15	"canopy"	14	1.85	0.85	NA	1.9	1.8	2	1.85	1.8	1.9	"small"	"globose"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"NO_ML"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	0	NA	1.9	1.85	3.40483193802184	1.9	1.85	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA
"Pritchardia schattaueri"	1	0	0	0	0	1	"1"	0	0	40	30	"canopy"	30	1.9	1.8	2.2	4	3	5	3.5	3	4	"large"	"NA"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"NO_ML"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	0	4.1	4	3.5	25.6563400043166	4	3.5	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"YES"	"NO"	"NO"	"YES"	NA	NA	NA	NA	NA
"Pritchardia thurstonii"	0	0	1	0	0	1	"1"	0	0	11	20	"canopy"	25	1.5	NA	NA	7	NA	NA	7	NA	NA	"large"	"globose"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"nonLC"	"nonLC"	"NO_ML"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	0	NA	7	7	179.594380030216	7	7	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"YES"	"NO"	"NO"	"YES"	NA	NA	NA	NA	NA
"Pritchardia viscosa"	1	0	0	0	0	1	"1"	0	0	10	50	"canopy"	NA	1.4	1	2.1	2.95	1.9	4	1.65	1.2	2.1	"small"	"NA"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"NO_ML"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	0	3.5	2.95	1.65	4.20521811637079	2.95	1.65	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	"NO"	NA	NA	NA	NA	NA	NA
"Pritchardia vuylstekeana"	1	0	0	0	0	1	"1"	0	0	NA	NA	"NA"	NA	NA	NA	NA	2.4	NA	NA	2	NA	NA	"small"	"ovoid"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"NO_ML"	NA	NA	NA	"nonLC"	NA	NA	NA	"nonLC"	"nonLC"	"Americas"	"E"	0	NA	2.4	2	5.02654824574367	2.4	2	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Pritchardia waialealeana"	1	0	0	0	0	1	"1"	0	0	20	50	"canopy"	40	NA	NA	NA	2	NA	NA	1.5	NA	NA	"small"	"globose"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.976"	"0.024"	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	0	NA	2	1.5	2.35619449019234	2	1.5	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	"NO"	NA	NA	NA	NA	NA	NA
"Pritchardia woodii"	1	0	0	0	0	1	"1"	0	0	25	25	"canopy"	20	1.45	2.5	NA	4.75	4.5	5	4.25	NA	NA	"large"	"NA"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"NO_ML"	NA	NA	NA	"nonLC"	NA	NA	NA	"nonLC"	"nonLC"	"Americas"	"E"	0	NA	4.75	4.25	44.9231387001603	4.75	4.25	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"YES"	"NO"	"NO"	"YES"	NA	NA	NA	NA	NA
"Pseudophoenix ekmanii"	1	0	0	0	0	1	"1"	0	0	6	80	"canopy"	12	3	1.61	1.44	1.3	1.18	1.43	1.685	1.17	2.2	"small"	"NA"	"conspicuous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.68"	"0.32"	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	0	4.44	1.3	1.685	1.4910260533325	1.685	1.3	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA
"Pseudophoenix lediniana"	1	0	0	0	0	1	"1"	0	0	20	30	"canopy"	17	3.1	2.36	0.79	2.12	1.72	2.51	1.8	1.48	2.17	"small"	"ovoid"	"conspicuous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.87"	"0.13"	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	0	3.89	2.12	1.8	3.5964952698296	2.12	1.8	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"YES"	"NO"	"NO"	"YES"	NA	NA	NA	NA	NA
"Pseudophoenix sargentii"	1	0	0	0	0	1	"1"	0	0	8	30	"canopy"	16	2.84	1.65	1.24	1.39	1.06	1.71	1.305	0.91	1.7	"small"	"NA"	"conspicuous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LC"	"LC"	"TRAIN"	NA	NA	NA	NA	"LC"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	0	4.08	1.39	1.305	1.23946550869048	1.39	1.305	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"YES"	"NO"	"NO"	"YES"	NA	NA	NA	NA	NA
"Pseudophoenix vinifera"	1	0	0	0	0	1	"1"	0	0	25	40	"canopy"	24	3	2.7	0.33	3.07	1.76	2.37	2.06	1.62	2.5	"small"	"globose"	"conspicuous"	0	0	0	0	0	0	1	0	0	0	"NE"	"NE"	"PREDICTED"	"LC"	"0.42"	"0.58"	NA	NA	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	0	3.33	3.07	2.06	6.82136735587585	3.07	2.06	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"YES"	"NO"	"NO"	"YES"	"YES"	"NO"	"YES"	"NO"	"NO"
"Ptychococcus lepidotus"	0	0	1	0	0	1	"1"	0	0	11.5	30	"canopy"	15	4.4	4.4	NA	1.2	NA	NA	0.8	NA	NA	"small"	"globose"	"conspicuous"	0	0	0	0	0	0	1	0	0	0	"NE"	"NE"	"PREDICTED"	"LC"	"0.34"	"0.66"	NA	NA	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"E"	0	NA	1.2	0.8	0.402123859659493	1.2	0.8	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"YES"	"NO"	"NO"	"YES"	"YES"	"NO"	"YES"	"NO"	"NO"
"Ptychococcus paradoxus"	0	0	1	0	0	1	"1"	0	0	26	30	"canopy"	13	6.5	4.5	2.1	5	4	6	3.5	NA	NA	"large"	"ovoid"	"conspicuous"	1	0	0	0	1	0	1	0	0	1	"LC"	"LC"	"TRAIN"	NA	NA	NA	NA	"LC"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"E"	0	8.6	5	3.5	32.0704250053958	5	3.5	"NO"	"YES"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"
"Ptychosperma ambiguum"	0	0	1	0	0	1	"1"	0	0	5	2.5	"understorey"	NA	1.6	NA	NA	2	1.8	2.2	0.8	NA	NA	"small"	"globose"	"conspicuous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"NO_ML"	NA	NA	NA	"LC"	NA	NA	NA	"LC"	"LC"	"EAsiaPacific"	"E"	0	NA	2	0.8	0.670206432765823	2	0.8	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	NA	NA	"NO"	NA	NA	NA	NA	NA	NA
"Ptychosperma buabe"	0	0	1	0	0	1	"1"	0	0	5	6	"understorey"	NA	1.55	1.55	NA	1.9	1.8	2	1	NA	NA	"small"	"elongate"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.828"	"0.172"	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	0	NA	1.9	1	0.994837673636768	1.9	1	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	"NO"	NA	NA	NA	NA	NA	NA
"Ptychosperma burretianum"	0	0	1	0	0	1	"1"	0	0	8	3	"canopy"	7	1.9	1.9	NA	1.5	NA	NA	0.9	NA	NA	"small"	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.906"	"0.094"	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	0	NA	1.5	0.9	0.636172512351933	1.5	0.9	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA
