"Region"	"Species"
"NIC"	"Acoelorrhaphe wrightii, Acrocomia aculeata, Asterogyne martiana, Astrocaryum alatum, Astrocaryum mexicanum, Attalea cohune, Attalea rostrata, Bactris caudata, Bactris coloradonis, Bactris dianeura, Bactris gasipaes, Bactris gracilior, Bactris grayumii, Bactris guineensis, Bactris major, Bactris mexicana, Bactris obovata, Brahea salvadorensis, Calyptrogyne ghiesbreghtiana, Chamaedorea costaricana, Chamaedorea dammeriana, Chamaedorea deckeriana, Chamaedorea graminifolia, Chamaedorea lucidifrons, Chamaedorea neurochlamys, Chamaedorea oblongata, Chamaedorea pinnatifrons, Chamaedorea tepejilote, Chamaedorea woodsoniana, Cocos nucifera, Colpothrinax aphanopetala, Cryosophila warscewiczii, Desmoncus chinantlensis, Desmoncus moorei, Elaeis guineensis, Elaeis oleifera, Euterpe precatoria, Geonoma congesta, Geonoma cuneata, Geonoma deversa, Geonoma ferruginea, Geonoma interrupta, Geonoma longivaginata, Geonoma orbignyana, Geonoma pinnatifrons, Geonoma undata, Iriartea deltoidea, Manicaria saccifera, Neonicholsonia watsonii, Pholidostachys pulchra, Prestoea acuminata, Prestoea decurrens, Prestoea longepetiolata, Prestoea schultzeana, Raphia taedigera, Reinhardtia gracilis, Reinhardtia koschnyana, Reinhardtia latisecta, Reinhardtia simplex, Roystonea dunlapiana, Sabal mexicana, Socratea exorrhiza, Synechanthus fibrosus, Synechanthus warscewiczianus, Thrinax radiata, Welfia regia"
"NLA"	"Copernicia berteroana, Copernicia tectorum, Hyphaene thebaica"
"NNS"	"Arenga ryukyuensis, Livistona chinensis, Nypa fruticans, Rhapis excelsa, Satakentia liukiuensis"
"NOR"	"NA"
"NRU"	"Cocos nucifera"
"NSC"	"NA"
"NSW"	"Archontophoenix cunninghamiana, Calamus muelleri, Linospadix monostachyos, Livistona australis, Phoenix canariensis, Syagrus romanzoffiana, Washingtonia filifera"
"NTA"	"Arenga microcarpa, Carpentaria acuminata, Corypha utan, Hydriastele ramsayi, Hydriastele wendlandiana, Livistona benthamii, Livistona humilis, Livistona inermis, Livistona lorophylla, Livistona mariae, Livistona rigida, Livistona victoriae, Nypa fruticans, Phoenix dactylifera, Ptychosperma macarthurii"
"NUE"	"Cocos nucifera, Pritchardia pacifica"
"NUN"	"NA"
"NWC"	"Actinokentia divaricata, Actinokentia huerlimannii, Basselinia deplanchei, Basselinia eriostachys, Basselinia favieri, Basselinia glabrata, Basselinia gracilis, Basselinia humboldtiana, Basselinia iterata, Basselinia moorei, Basselinia pancheri, Basselinia porphyrea, Basselinia sordida, Basselinia tomentosa, Basselinia velutina, Basselinia vestita, Burretiokentia dumasii, Burretiokentia grandiflora, Burretiokentia hapala, Burretiokentia koghiensis, Burretiokentia vieillardii, Chambeyronia lepidota, Chambeyronia macrocarpa, Clinosperma bracteale, Clinosperma lanuginosa, Clinosperma macrocarpa, Clinosperma vaginata, Cocos nucifera, Cyphokentia cerifera, Cyphokentia macrostachya, Cyphophoenix alba, Cyphophoenix elegans, Cyphophoenix fulcita, Cyphophoenix nucele, Cyphosperma balansae, Kentiopsis magnifica, Kentiopsis oliviformis, Kentiopsis piersoniorum, Kentiopsis pyriformis, Livistona chinensis, Phoenix dactylifera, Roystonea oleracea, Saribus jeanneneyi"
"NWG"	"Actinorhytis calapparia, Areca catechu, Areca congesta, Areca jokowi, Areca ledermanniana, Areca macrocalyx, Areca mandacanii, Areca unipa, Arenga microcarpa, Arenga pinnata, Borassus heineanus, Brassiophoenix drymophloeoides, Brassiophoenix schumannii, Calamus altiscandens, Calamus anomalus, Calamus aruensis, Calamus badius, Calamus baiyerensis, Calamus bankae, Calamus barbatus, Calamus barfodii, Calamus bulubabi, Calamus capillosus, Calamus cheirophyllus, Calamus croftii, Calamus cuthbertsonii, Calamus dasyacanthus, Calamus depauperatus, Calamus distentus, Calamus erythrocarpus, Calamus essigii, Calamus fertilis, Calamus heatubunii, Calamus heteracanthus, Calamus interruptus, Calamus jacobsii, Calamus johnsii, Calamus katikii, Calamus kebariensis, Calamus klossii, Calamus komsaryi, Calamus kostermansii, Calamus lauterbachii, Calamus longipinna, Calamus lucysmithiae, Calamus macrochlamys, Calamus maturbongsii, Calamus moszkowskianus, Calamus nanduensis, Calamus nannostachys, Calamus oresbius, Calamus pachypus, Calamus papuanus, Calamus papyraceus, Calamus pholidostachys, Calamus pilosissimus, Calamus pintaudii, Calamus polycladus, Calamus pseudozebrinus, Calamus reticulatus, Calamus retroflexus, Calamus sashae, Calamus scabrispathus, Calamus schlechterianus, Calamus serrulatus, Calamus spanostachys, Calamus spiculifer, Calamus superciliatus, Calamus vestitus, Calamus vitiensis, Calamus wanggaii, Calamus warburgii, Calamus womersleyi, Calamus zebrinus, Calamus zieckii, Calyptrocalyx albertisianus, Calyptrocalyx amoenus, Calyptrocalyx arfakianus, Calyptrocalyx awa, Calyptrocalyx caudiculatus, Calyptrocalyx doxanthus, Calyptrocalyx elegans, Calyptrocalyx flabellatus, Calyptrocalyx forbesii, Calyptrocalyx geonomiformis, Calyptrocalyx hollrungii, Calyptrocalyx julianettii, Calyptrocalyx lauterbachianus, Calyptrocalyx laxiflorus, Calyptrocalyx lepidotus, Calyptrocalyx leptostachys, Calyptrocalyx merrillianus, Calyptrocalyx micholitzii, Calyptrocalyx multifidus, Calyptrocalyx pachystachys, Calyptrocalyx pauciflorus, Calyptrocalyx polyphyllus, Calyptrocalyx pusillus, Calyptrocalyx sessiliflorus, Calyptrocalyx yamutumene, Caryota rumphiana, Caryota zebrina, Cocos nucifera, Corypha utan, Cyrtostachys bakeri, Cyrtostachys barbata, Cyrtostachys elegans, Cyrtostachys excelsa, Cyrtostachys glauca, Cyrtostachys loriae, Dransfieldia micrantha, Drymophloeus litigiosus, Drymophloeus oliviformis, Heterospathe annectens, Heterospathe arfakiana, Heterospathe barfodii, Heterospathe clemensiae, Heterospathe compsoclada, Heterospathe delicatula, Heterospathe elata, Heterospathe elegans, Heterospathe glabra, Heterospathe ledermanniana, Heterospathe lepidota, Heterospathe macgregorii, Heterospathe muelleriana, Heterospathe obriensis, Heterospathe pilosa, Heterospathe porcata, Heterospathe pulchra, Heterospathe pullenii, Heterospathe sphaerocarpa, Hydriastele affinis, Hydriastele aprica, Hydriastele beccariana, Hydriastele biakensis, Hydriastele brassii, Hydriastele cariosa, Hydriastele carrii, Hydriastele chaunostachys, Hydriastele costata, Hydriastele cyclopensis, Hydriastele dransfieldii, Hydriastele flabellata, Hydriastele geelvinkiana, Hydriastele gibbsiana, Hydriastele gracilis, Hydriastele ledermanniana, Hydriastele lepidota, Hydriastele longispatha, Hydriastele lurida, Hydriastele mayrii, Hydriastele micrantha, Hydriastele microspadix, Hydriastele montana, Hydriastele pinangoides, Hydriastele pleurocarpa, Hydriastele procera, Hydriastele rheophytica, Hydriastele rhopalocarpa, Hydriastele rostrata, Hydriastele valida, Hydriastele variabilis, Hydriastele wendlandiana, Korthalsia brassii, Korthalsia zippelii, Licuala angustiloba, Licuala anomala, Licuala aruensis, Licuala bacularia, Licuala beccariana, Licuala bellatula, Licuala bifida, Licuala brevicalyx, Licuala concinna, Licuala crassiflora, Licuala debilis, Licuala flavida, Licuala gjellerupii, Licuala graminifolia, Licuala grandiflora, Licuala insignis, Licuala klossii, Licuala lauterbachii, Licuala leprosa, Licuala leptocalyx, Licuala linearis, Licuala longispadix, Licuala macrantha, Licuala magna, Licuala micrantha, Licuala montana, Licuala moszkowskiana, Licuala naumoniensis, Licuala oninensis, Licuala pachycalyx, Licuala parviflora, Licuala paucisecta, Licuala penduliflora, Licuala platydactyla, Licuala polyschista, Licuala pulchella, Licuala robusta, Licuala simplex, Licuala steinii, Licuala tanycola, Licuala telifera, Licuala urciflora, Linospadix albertisianus, Linospadix caninus, Livistona benthamii, Livistona muelleri, Manjekia maturbongsii, Metroxylon sagu, Metroxylon salomonense, Nypa fruticans, Orania archboldiana, Orania bakeri, Orania dafonsoroensis, Orania deflexa, Orania disticha, Orania ferruginea, Orania gagavu, Orania glauca, Orania grandiflora, Orania lauterbachiana, Orania littoralis, Orania longistaminodia, Orania macropetala, Orania micrantha, Orania oreophila, Orania palindan, Orania parva, Orania regalis, Orania subdisticha, Orania tabubilensis, Orania timikae, Orania zonae, Pigafetta filaris, Pinanga rumphiana, Ptychococcus lepidotus, Ptychococcus paradoxus, Ptychosperma ambiguum, Ptychosperma buabe, Ptychosperma burretianum, Ptychosperma caryotoides, Ptychosperma cuneatum, Ptychosperma furcatum, Ptychosperma hartmannii, Ptychosperma lauterbachii, Ptychosperma lineare, Ptychosperma macarthurii, Ptychosperma macrocerum, Ptychosperma mambare, Ptychosperma microcarpum, Ptychosperma mooreanum, Ptychosperma nicolai, Ptychosperma praemorsum, Ptychosperma propinquum, Ptychosperma pullenii, Ptychosperma ramosissimum, Ptychosperma rosselense, Ptychosperma salomonense, Ptychosperma sanderianum, Ptychosperma schefferi, Ptychosperma streimannii, Ptychosperma tagulense, Ptychosperma vestitum, Ptychosperma waitianum, Rhopaloblaste ceramica, Rhopaloblaste ledermanniana, Saribus brevifolius, Saribus chocolatinus, Saribus papuanus, Saribus rotundifolius, Saribus surru, Saribus tothur, Saribus woodfordii, Sommieria leucophylla, Wallaceodoxa raja-ampat"
"NWH"	"NA"
"NWJ"	"NA"
"NWM"	"NA"
"NWT"	"NA"
"NWY"	"NA"
"NZN"	"Archontophoenix cunninghamiana, Phoenix canariensis, Rhopalostylis sapida, Washingtonia robusta"
"NZS"	"Rhopalostylis sapida"
"OFS"	"NA"
"OGA"	"Arenga ryukyuensis, Caryota urens, Clinostigma savoryanum, Cocos nucifera, Livistona boninensis"
"OHI"	"NA"
"OKL"	"Sabal minor"
"OMA"	"Nannorrhops ritchieana, Phoenix caespitosa, Phoenix dactylifera"
"ONT"	"NA"
"ORE"	"NA"
"PAK"	"Nannorrhops ritchieana, Phoenix dactylifera, Phoenix loureiroi, Phoenix sylvestris"
"PAL"	"Hyphaene thebaica"
"PAN"	"Acrocomia aculeata, Aiphanes hirsuta, Areca triandra, Asterogyne martiana, Astrocaryum alatum, Astrocaryum confertum, Astrocaryum standleyanum, Attalea allenii, Attalea iguadummat, Attalea rostrata, Bactris barronis, Bactris caudata, Bactris charnleyae, Bactris coloniata, Bactris coloradonis, Bactris dianeura, Bactris gasipaes, Bactris glandulosa, Bactris gracilior, Bactris guineensis, Bactris kunorum, Bactris major, Bactris maraja, Bactris militaris, Bactris obovata, Bactris panamensis, Bactris pilosa, Calyptrogyne allenii, Calyptrogyne anomala, Calyptrogyne coloradensis, Calyptrogyne condensata, Calyptrogyne costatifrons, Calyptrogyne deneversii, Calyptrogyne fortunensis, Calyptrogyne ghiesbreghtiana, Calyptrogyne kunorum, Calyptrogyne panamensis, Calyptrogyne pubescens, Calyptrogyne sanblasensis, Calyptrogyne tutensis, Chamaedorea allenii, Chamaedorea amabilis, Chamaedorea anemophila, Chamaedorea arenbergiana, Chamaedorea brachyclada, Chamaedorea correae, Chamaedorea costaricana, Chamaedorea dammeriana, Chamaedorea deckeriana, Chamaedorea deneversiana, Chamaedorea guntheriana, Chamaedorea lucidifrons, Chamaedorea macrospadix, Chamaedorea matae, Chamaedorea microphylla, Chamaedorea palmeriana, Chamaedorea pinnatifrons, Chamaedorea pittieri, Chamaedorea ponderosa, Chamaedorea pumila, Chamaedorea pygmaea, Chamaedorea recurvata, Chamaedorea robertii, Chamaedorea rossteniorum, Chamaedorea scheryi, Chamaedorea serpens, Chamaedorea stenocarpa, Chamaedorea stricta, Chamaedorea subjectifolia, Chamaedorea tepejilote, Chamaedorea verecunda, Chamaedorea warscewiczii, Chamaedorea woodsoniana, Colpothrinax aphanopetala, Cryosophila bartlettii, Cryosophila guagara, Cryosophila kalbreyeri, Cryosophila warscewiczii, Desmoncus cirrhifer, Desmoncus kunarius, Desmoncus myriacanthos, Desmoncus obovoideus, Dictyocaryum lamarckianum, Elaeis oleifera, Euterpe precatoria, Geonoma calyptrogynoidea, Geonoma concinnoidea, Geonoma congesta, Geonoma cuneata, Geonoma deneversii, Geonoma deversa, Geonoma epetiolata, Geonoma hugonis, Geonoma interrupta, Geonoma lehmannii, Geonoma longivaginata, Geonoma monospatha, Geonoma mooreana, Geonoma orbignyana, Geonoma pinnatifrons, Geonoma talamancana, Geonoma triandra, Geonoma undata, Hyospathe elegans, Hyospathe pittieri, Iriartea deltoidea, Manicaria saccifera, Neonicholsonia watsonii, Nypa fruticans, Oenocarpus bataua, Oenocarpus mapora, Pholidostachys dactyloides, Pholidostachys kalbreyeri, Pholidostachys panamensis, Pholidostachys pulchra, Phytelephas macrocarpa, Prestoea acuminata, Prestoea decurrens, Prestoea ensiformis, Prestoea longepetiolata, Prestoea pubens, Prestoea schultzeana, Ptychosperma macarthurii, Raphia taedigera, Reinhardtia gracilis, Reinhardtia koschnyana, Reinhardtia simplex, Roystonea regia, Sabal mauritiiformis, Socratea exorrhiza, Synechanthus dasystachys, Synechanthus fibrosus, Synechanthus warscewiczianus, Welfia regia, Wettinia aequalis, Wettinia panamensis, Wettinia radiata"
"PAR"	"Acrocomia hassleri, Acrocomia totai, Allagoptera campestris, Allagoptera leucocalyx, Attalea anisitsiana, Attalea geraensis, Bactris glaucescens, Butia arenicola, Butia campicola, Butia exospadix, Butia lepidotispatha, Butia leptospatha, Butia marmorii, Butia paraguayensis, Copernicia alba, Desmoncus leptoclonos, Euterpe edulis, Geonoma pohliana, Syagrus campylospatha, Syagrus cerqueirana, Syagrus lilliputiana, Syagrus oleracea, Syagrus romanzoffiana, Trithrinax brasiliensis, Trithrinax schizophylla"
"PEI"	"NA"
"PEN"	"NA"
"PER"	"Aiphanes deltoidea, Aiphanes horrida, Aiphanes spicata, Aiphanes ulei, Aiphanes weberbaueri, Aphandra natalia, Astrocaryum aculeatum, Astrocaryum carnosum, Astrocaryum chambira, Astrocaryum chonta, Astrocaryum ciliatum, Astrocaryum faranae, Astrocaryum gratum, Astrocaryum huaimi, Astrocaryum huicungo, Astrocaryum jauari, Astrocaryum javarense, Astrocaryum macrocalyx, Astrocaryum perangustatum, Astrocaryum scopatum, Astrocaryum ulei, Astrocaryum urostachys, Attalea bassleriana, Attalea butyracea, Attalea cephalotus, Attalea insignis, Attalea kewensis, Attalea maripa, Attalea microcarpa, Attalea moorei, Attalea peruviana, Attalea phalerata, Attalea plowmanii, Attalea racemosa, Attalea salazarii, Attalea tessmannii, Attalea weberbaueri, Bactris acanthocarpa, Bactris bidentula, Bactris bifida, Bactris brongniartii, Bactris chaveziae, Bactris coloniata, Bactris concinna, Bactris corossilla, Bactris fissifrons, Bactris gasipaes, Bactris halmoorei, Bactris hirta, Bactris killipii, Bactris macroacantha, Bactris major, Bactris maraja, Bactris martiana, Bactris riparia, Bactris schultesii, Bactris setulosa, Bactris simplicifrons, Bactris sphaerocarpa, Ceroxylon echinulatum, Ceroxylon parvifrons, Ceroxylon peruvianum, Ceroxylon pityrophyllum, Ceroxylon quindiuense, Ceroxylon vogelianum, Chamaedorea angustisecta, Chamaedorea fragrans, Chamaedorea linearis, Chamaedorea pauciflora, Chamaedorea pinnatifrons, Chamaedorea smithii, Chelyocarpus repens, Chelyocarpus ulei, Desmoncus giganteus, Desmoncus loretanus, Desmoncus madrensis, Desmoncus mitis, Desmoncus polyacanthos, Desmoncus prunifer, Desmoncus vacivus, Dictyocaryum lamarckianum, Dictyocaryum ptarianum, Elaeis oleifera, Euterpe catinga, Euterpe luminosa, Euterpe precatoria, Geonoma brongniartii, Geonoma camana, Geonoma deversa, Geonoma euspatha, Geonoma interrupta, Geonoma laxiflora, Geonoma lehmannii, Geonoma leptospadix, Geonoma longepedunculata, Geonoma macrostachys, Geonoma maxima, Geonoma occidentalis, Geonoma orbignyana, Geonoma peruviana, Geonoma poeppigiana, Geonoma sanmartinensis, Geonoma schizocarpa, Geonoma stricta, Geonoma triglochin, Geonoma trigona, Geonoma undata, Hyospathe elegans, Hyospathe peruviana, Iriartea deltoidea, Iriartella stenocarpa, Itaya amicorum, Lepidocaryum tenue, Manicaria saccifera, Mauritia carana, Mauritia flexuosa, Mauritiella armata, Oenocarpus balickii, Oenocarpus bataua, Oenocarpus distichus, Oenocarpus mapora, Parajubaea cocoides, Pholidostachys amazonensis, Pholidostachys synanthera, Phytelephas macrocarpa, Phytelephas tenuicaulis, Prestoea acuminata, Prestoea carderi, Prestoea ensiformis, Prestoea schultzeana, Socratea exorrhiza, Socratea rostrata, Socratea salazarii, Syagrus sancona, Syagrus smithii, Welfia alfredii, Wendlandiella gracilis, Wettinia augusta, Wettinia drudei, Wettinia longipetala, Wettinia maynensis"
"PHI"	"Adonidia merrillii, Areca caliso, Areca camarinensis, Areca catechu, Areca costulata, Areca hutchinsoniana, Areca ipot, Areca parens, Areca triandra, Areca vidaliana, Areca whitfordii, Arenga mindorensis, Arenga pinnata, Arenga tremula, Arenga undulatifolia, Calamus affinis, Calamus aidae, Calamus arugda, Calamus balerensis, Calamus batanensis, Calamus bicolor, Calamus caesius, Calamus clemensianus, Calamus cumingianus, Calamus curranii, Calamus daemonoropoides, Calamus diepenhorstii, Calamus discolor, Calamus erinaceus, Calamus filispadix, Calamus flexilis, Calamus foxworthyi, Calamus grandifolius, Calamus javensis, Calamus jenningsianus, Calamus loherianus, Calamus longipes, Calamus malawaliensis, Calamus manillensis, Calamus marginatus, Calamus megaphyllus, Calamus melanorhynchus, Calamus merrillii, Calamus microsphaerion, Calamus mitis, Calamus mollis, Calamus moseleyanus, Calamus nicolai, Calamus ochrolepis, Calamus oligolepis, Calamus ornatus, Calamus pannosus, Calamus pedicellaris, Calamus plicatus, Calamus politus, Calamus reyesianus, Calamus samian, Calamus scipionum, Calamus siphonospathus, Calamus spinifolius, Calamus symphysipus, Calamus urdanetanus, Calamus usitatus, Calamus vidalianus, Calamus vinosus, Calamus viridissimus, Caryota cumingii, Caryota maxima, Caryota mitis, Caryota rumphiana, Cocos nucifera, Corypha microclada, Corypha utan, Heterospathe brevicaulis, Heterospathe cagayanensis, Heterospathe califrons, Heterospathe dransfieldii, Heterospathe elata, Heterospathe elmeri, Heterospathe intermedia, Heterospathe negrosensis, Heterospathe philippinensis, Heterospathe scitula, Heterospathe sibuyanensis, Heterospathe trispatha, Korthalsia laciniosa, Korthalsia merrillii, Korthalsia rigida, Korthalsia robusta, Korthalsia scaphigeroides, Licuala spinosa, Livistona saribus, Nypa fruticans, Oncosperma gracilipes, Oncosperma horridum, Oncosperma platyphyllum, Orania decipiens, Orania palindan, Orania paraguanensis, Phoenix loureiroi, Pinanga basilanensis, Pinanga batanensis, Pinanga bicolana, Pinanga copelandii, Pinanga curranii, Pinanga egregia, Pinanga geonomiformis, Pinanga glaucifolia, Pinanga heterophylla, Pinanga insignis, Pinanga isabelensis, Pinanga maculata, Pinanga modesta, Pinanga negrosensis, Pinanga philippinensis, Pinanga rigida, Pinanga samarana, Pinanga sclerophylla, Pinanga sierramadreana, Pinanga sobolifera, Pinanga speciosa, Pinanga urdanetensis, Pinanga urosperma, Pinanga woodiana, Plectocomia elmeri, Plectocomia elongata, Salacca clemensiana, Salacca ramosiana, Saribus merrillii, Saribus rotundifolius"
"PHX"	"Cocos nucifera"
"PIT"	"NA"
"POL"	"NA"
"POR"	"Chamaerops humilis"
"PRM"	"NA"
"PUE"	"Acrocomia media, Adonidia merrillii, Aiphanes acanthophylla, Areca catechu, Calyptronoma rivalis, Caryota mitis, Caryota urens, Coccothrinax alta, Cocos nucifera, Dypsis lutescens, Elaeis guineensis, Gaussia attenuata, Leucothrinax morrisii, Livistona chinensis, Phoenix dactylifera, Phoenix reclinata, Phoenix rupicola, Phoenix sylvestris, Prestoea acuminata, Pseudophoenix sargentii, Roystonea borinquena, Roystonea regia, Sabal causiarum"
"QLD"	"Archontophoenix alexandrae, Archontophoenix cunninghamiana, Archontophoenix maxima, Archontophoenix myolensis, Archontophoenix purpurea, Archontophoenix tuckeri, Arenga australasica, Calamus aruensis, Calamus australis, Calamus caryotoides, Calamus moti, Calamus muelleri, Calamus radicalis, Calamus vitiensis, Calamus warburgii, Caryota alberti, Cocos nucifera, Corypha utan, Hydriastele costata, Hydriastele wendlandiana, Laccospadix australasicus, Licuala ramsayi, Linospadix apetiolatus, Linospadix microcaryus, Linospadix minor, Linospadix monostachyos, Linospadix palmerianus, Livistona australis, Livistona benthamii, Livistona concinna, Livistona decora, Livistona drudei, Livistona fulva, Livistona inermis, Livistona lanuginosa, Livistona muelleri, Livistona nitida, Livistona rigida, Normanbya normanbyi, Nypa fruticans, Oraniopsis appendiculata, Phoenix dactylifera, Ptychosperma elegans, Ptychosperma macarthurii, Syagrus romanzoffiana, Wodyetia bifurcata"
"QUE"	"NA"
"REU"	"Acanthophoenix crinita, Acanthophoenix rousselii, Acanthophoenix rubra, Cocos nucifera, Dictyosperma album, Dypsis lutescens, Hyophorbe indica, Latania lontaroides, Livistona chinensis, Phoenix dactylifera, Raphia farinifera, Roystonea oleracea, Washingtonia robusta"
"RHO"	"NA"
"ROD"	"Dictyosperma album, Hyophorbe verschaffeltii, Latania verschaffeltii"
"ROM"	"NA"
"RUC"	"NA"
"RUE"	"NA"
"RUN"	"NA"
"RUS"	"NA"
"RUW"	"NA"
"RWA"	"Elaeis guineensis, Hyphaene petersiana, Phoenix reclinata, Raphia ruwenzorica"
"SAK"	"NA"
"SAM"	"Balaka insularis, Balaka samoensis, Balaka tahitensis, Calamus caesius, Clinostigma onchorhynchum, Clinostigma samoense, Clinostigma warburgii, Cocos nucifera, Drymophloeus whitmeeanus, Metroxylon paulcoxii, Metroxylon upoluense, Metroxylon warburgii, Pritchardia pacifica"
"SAR"	"Chamaerops humilis"
"SAS"	"NA"
"SAU"	"Hyphaene thebaica, Phoenix caespitosa, Phoenix dactylifera, Phoenix reclinata"
"SCA"	"Cocos nucifera, Rhapidophyllum hystrix, Sabal minor, Sabal palmetto, Serenoa repens"
"SCI"	"Areca catechu, Cocos nucifera, Dypsis madagascariensis, Elaeis guineensis, Heterospathe elata, Licuala grandis, Livistona australis, Livistona saribus, Nypa fruticans, Oncosperma tigillarium, Pinanga coronata, Pritchardia pacifica, Ptychosperma elegans, Ptychosperma macarthurii"
"SCS"	"Cocos nucifera"
"SCZ"	"Areca catechu, Cocos nucifera, Hydriastele cylindrocarpa, Licuala grandis, Metroxylon sagu, Metroxylon salomonense, Metroxylon warburgii"
"SDA"	"NA"
"SEL"	"NA"
"SEN"	"Borassus aethiopum, Borassus akeassii, Calamus deerratus, Cocos nucifera, Elaeis guineensis, Hyphaene thebaica, Laccosperma secundiflorum, Phoenix dactylifera, Phoenix reclinata, Raphia farinifera, Raphia palma-pinus, Raphia sudanica"
"SEY"	"Cocos nucifera, Deckenia nobilis, Lodoicea maldivica, Nephrosperma vanhoutteanum, Phoenicophorium borsigianum, Raphia farinifera, Roscheria melanochaetes, Verschaffeltia splendida"
"SGE"	"NA"
"SIC"	"Chamaerops humilis, Phoenix canariensis, Washingtonia filifera"
"SIE"	"Calamus deerratus, Elaeis guineensis, Eremospatha dransfieldii, Eremospatha laurentii, Eremospatha macrocarpa, Hyphaene thebaica, Laccosperma acutiflorum, Laccosperma secundiflorum, Phoenix reclinata, Raphia farinifera, Raphia hookeri, Raphia palma-pinus, Raphia sudanica"
"SIN"	"Hyphaene thebaica, Phoenix dactylifera"
"SOA"	"Phoenix canariensis, Phoenix dactylifera"
"SOC"	"Borassus flabellifer, Phoenix dactylifera"
"SOL"	"Actinorhytis calapparia, Areca catechu, Areca macrocalyx, Areca novohibernica, Calamus aruensis, Calamus longipinna, Calamus novae-georgii, Calamus vitiensis, Caryota rumphiana, Clinostigma gronophyllum, Clinostigma haerestigma, Cocos nucifera, Cyrtostachys loriae, Heterospathe kajewskii, Heterospathe minor, Heterospathe ramulosa, Heterospathe salomonensis, Heterospathe sensisi, Heterospathe woodfordiana, Hydriastele hombronii, Hydriastele macrospadix, Licuala lauterbachii, Licuala naumannii, Metroxylon sagu, Metroxylon salomonense, Nypa fruticans, Pelagodoxa henryana, Physokentia dennisii, Physokentia insolita, Physokentia whitmorei, Pritchardia pacifica, Ptychococcus paradoxus, Ptychosperma salomonense, Rhopaloblaste elegans, Saribus woodfordii, Veitchia lepidota, Veitchia pachyclada, Veitchia subdisticha"
"SOM"	"Hyphaene compressa, Hyphaene coriacea, Hyphaene reptans, Hyphaene thebaica, Livistona carinensis, Phoenix caespitosa, Phoenix dactylifera, Phoenix reclinata"
"SPA"	"Chamaerops humilis, Phoenix canariensis, Phoenix dactylifera, Washingtonia filifera, Washingtonia robusta"
"SRL"	"Areca catechu, Areca concinna, Borassus flabellifer, Calamus delicatulus, Calamus digitatus, Calamus metzianus, Calamus ovoideus, Calamus pachystemonus, Calamus pseudotenuis, Calamus radiatus, Calamus rotang, Calamus thwaitesii, Calamus zeylanicus, Caryota urens, Cocos nucifera, Corypha umbraculifera, Elaeis guineensis, Hyphaene dichotoma, Loxococcus rupicola, Nypa fruticans, Oncosperma fasciculatum, Phoenix pusilla, Phoenix sylvestris"
"SSA"	"NA"
"STH"	"NA"
"SUD"	"Borassus aethiopum, Calamus deerratus, Elaeis guineensis, Hyphaene thebaica, Medemia argun, Phoenix dactylifera, Phoenix reclinata, Raphia mambillensis, Raphia monbuttorum"
"SUL"	"Areca catechu, Areca oxycarpa, Areca vestiaria, Arenga pinnata, Arenga undulatifolia, Borassus flabellifer, Calamus boniensis, Calamus didymocarpus, Calamus inops, Calamus kandariensis, Calamus kjellbergii, Calamus koordersianus, Calamus lamprolepis, Calamus leiocaulis, Calamus leptostachys, Calamus macropterus, Calamus macrosphaerion, Calamus minahassae, Calamus mogeanus, Calamus moseleyanus, Calamus ornatus, Calamus orthostachyus, Calamus pedicellatus, Calamus riedelianus, Calamus robinsonianus, Calamus sarasinorum, Calamus schlechteri, Calamus scleracanthus, Calamus siphonospathus, Calamus suaveolens, Calamus symphysipus, Calamus takanensis, Calamus toli-toliensis, Calamus usitatus, Calamus validus, Calamus zollingeri, Caryota angustifolia, Caryota mitis, Caryota rumphiana, Cocos nucifera, Corypha utan, Hydriastele kjellbergii, Hydriastele nannostachys, Hydriastele sarasinorum, Hydriastele selebica, Korthalsia celebica, Licuala bissula, Licuala celebica, Nypa fruticans, Oncosperma horridum, Orania palindan, Pholidocarpus ihur, Pigafetta elata, Pinanga caesia, Pinanga celebica, Pinanga furfuracea, Pinanga inaequalis, Pinanga insignis, Pinanga minor, Pinanga rumphiana, Salacca zalacca, Saribus rotundifolius"
